url,canal,canal_id,titulo,vistas,likes,comentarios,duracion_seg,fecha_pub,scrapeado_en,nicho,keyword
https://www.youtube.com/watch?v=gqpx3sxjKZw,TecnoTV,UC3ADXiwo-hb6tIT6_Bm4NIA,LOS 5 MEJORES TELEFONOS GAMA ALTA DEL 2025,290225,2774,176,486,20250228,2026-03-29 17:04:51,tecnologia,review celulares 2025
https://www.youtube.com/watch?v=wibMtlOMV14,JotaNova,UC4bv_Gammz5ui9Fuyqz3L9Q,Estos son los REYES de la calidad-precio en 2025 👑,26146,434,43,518,20251006,2026-03-29 17:04:53,tecnologia,review celulares 2025
https://www.youtube.com/watch?v=ohbed-oHz4c,Isa Marcial,UCxz7sBKlpcpyCiPwXupRymw,MEJORES CELULARES para comprar en gama ALTA 2025,126687,3386,242,334,20251116,2026-03-29 17:04:55,tecnologia,review celulares 2025
https://www.youtube.com/watch?v=Lai9HN1yG_A,Tecnología Español,UCm-p0cg_Hekbw9TaaJN0s5g,Top 17 Tendencias Tecnológicas Que Definirán el 2026,20787,434,11,802,20251206,2026-03-29 17:04:57,tecnologia,tecnologia español
https://www.youtube.com/watch?v=qNtxODk_Lmk,Veritasium en español,UCXtxgWwk55kVJo9lCCZRdmg,El Futuro de las Computadoras Será Radicalmente Diferente,2228575,69145,1400,1252,20220327,2026-03-29 17:05:00,tecnologia,tecnologia español
https://www.youtube.com/watch?v=RiC8quevWhM,Ezequiel Tech,UC03ZPIiJk9lZqiGUhS0Nwmg,51 Inventos que no Sabías que Existían y estan Disponibles en Amazon,759455,4683,55,2705,20250813,2026-03-29 17:05:02,tecnologia,tecnologia español
https://www.youtube.com/watch?v=9O_SIZjcQMg,Rincón Tecnológico,UCvzPYBQQY_8ICUgo1zfvmjA,HONOR PLAY 10│ UNBOXING versión LATINOAMERICA│¡Es el MÁS BARATO!,22096,383,73,729,20251120,2026-03-29 17:05:06,tecnologia,unboxing tech latam
https://www.youtube.com/watch?v=7_l19dtelt4,True Tech,UCgTkcGccJ5oZANJnDq0TWwQ,Unboxing iPhone 14 FUNCIONARÁ EN LATAM?│True Tech,88,9,1,166,20220919,2026-03-29 17:05:08,tecnologia,unboxing tech latam
https://www.youtube.com/watch?v=Z1vEN7gJzHE,Unboxing Latam,UCUODFAUtHDFkQVScxsatr6w,Unboxing New Powerbeats PRO UNBOXING 2020 LATAM,279,134,0,506,20191208,2026-03-29 17:05:10,tecnologia,unboxing tech latam
https://www.youtube.com/watch?v=foHQHHwvf8c,Más Menos Trece,UCL2wqcZppCSYX-CSMpIcp7Q,TWT #7 | WHISKY PARA LOS EMPLEADOS | THE WALKING TRADE Gameplay Español,34210,3218,54,2305,20260328,2026-03-29 17:21:48,gaming,gameplay español
https://www.youtube.com/watch?v=ELaU4gB8sXo,El Escoces gamer,UC15QE9U_c5QZd1qKP57_hMA,PRIMERAS IMPRESIONES - Crimson Desert Gameplay Español Ep1,22022,936,64,12669,20260320,2026-03-29 17:21:49,gaming,gameplay español
https://www.youtube.com/watch?v=sVNQT8syBC4,Nacho Trotta,UCMItQMBuFb3XYNgiCyGBTYw,pov: lo que no te muestran de hacer ropa en Argentina,3408,193,21,739,20250317,2026-03-29 17:21:56,moda,moda argentina
https://www.youtube.com/watch?v=NhbvLxFvYyA,Jeff Nippard Español,UCgUvXzDbEa6CeX8A3_J4oTQ,La Rutina Exacta que Seguí para Mi Transformación de 1 Año,294637,10738,105,897,20250531,2026-03-29 17:22:02,fitness,rutina gym español
https://www.youtube.com/watch?v=flNmccJYkSM,Tu escuela de español,UCTyCyyV0eKfEoMWI_V11z6A,Aprender español: Internet y nuevas tecnologías (nivel intermedio),146264,4365,83,460,20140715,2026-03-29 17:22:11,tecnologia,tecnologia español
https://www.youtube.com/watch?v=Z2nt8vy0GZU,DarkPlayer Gaming TV,UCWv-0hCp1C3g3OXkY6ssyvQ,LIFE IS STRANGE REUNION Juego Completo | Gameplay Español (Final Bueno),10163,574,66,30522,20260327,2026-03-29 18:22:22,gaming,gameplay español
